Date,TemperatureF,Humidity,SeaLevelPressureIn,VisibilityMiles,WindSpeedMPH,CloudCover,Events
2013-01-01,28,89,30.01,6,8,8,Snow
2013-01-02,21,67,30.18,10,5,4,
2013-01-03,24,67,30.21,10,8,3,
2013-01-04,28,68,30.21,10,16,4,
2013-01-05,30,68,30.3,10,10,5,
2013-01-06,34,75,30.09,10,9,8,Snow
2013-01-07,29,78,30.37,7,8,5,
2013-01-08,31,75,30.33,8,7,0,
2013-01-09,36,76,30.31,10,11,3,Rain
2013-01-10,34,69,30.51,10,6,0,
2013-01-11,47,86,30.05,7,7,6,Fog-Rain
2013-01-12,55,94,30.03,5,7,6,Fog-Rain
2013-01-13,62,77,29.9,9,9,4,Rain
2013-01-14,44,79,30.18,10,9,5,Rain
2013-01-15,30,79,30.24,8,5,4,Rain-Snow
2013-01-16,32,94,29.96,3,3,7,Fog-Rain
2013-01-17,32,82,30.12,8,9,5,Snow
2013-01-18,24,62,30.37,8,12,3,Fog-Snow
2013-01-19,42,34,30.07,10,15,1,
2013-01-20,35,50,29.99,10,16,2,
2013-01-21,18,69,29.99,7,9,7,Fog-Snow
2013-01-22,9,60,30.22,10,13,4,
2013-01-23,11,62,30.25,10,8,4,
2013-01-24,16,67,30.35,8,5,5,Snow
2013-01-25,16,76,30.17,5,4,7,Fog-Snow
2013-01-26,23,79,30.22,5,7,8,Snow
2013-01-27,23,70,30.48,8,2,1,
2013-01-28,40,91,30.12,4,9,8,Rain-Snow
2013-01-29,59,66,29.98,5,8,5,Fog
2013-01-30,58,84,29.45,8,14,6,Rain
2013-01-31,32,80,29.62,5,21,8,Fog-Rain-Snow
2013-02-01,16,72,30.06,7,10,7,Snow
2013-02-02,14,86,30.07,4,9,7,Snow
2013-02-03,21,83,29.88,4,7,8,Snow
2013-02-04,21,86,29.93,4,8,8,Fog-Snow
2013-02-05,28,93,29.88,4,4,8,Snow
2013-02-06,26,79,30.16,7,7,6,Snow
2013-02-07,30,72,30.2,9,6,2,
2013-02-08,30,86,29.91,5,12,7,Rain-Snow
2013-02-09,27,69,30.35,9,10,4,Snow
2013-02-10,34,55,30.2,10,5,4,Rain
2013-02-11,48,74,29.83,8,13,5,Rain
2013-02-12,36,62,30.0,10,12,5,
2013-02-13,32,87,29.78,5,5,6,Fog-Snow
2013-02-14,34,83,29.93,7,10,7,Rain
2013-02-15,32,81,30.01,8,9,7,Snow
2013-02-16,24,74,30.0,7,5,7,Snow
2013-02-17,18,77,30.01,4,10,8,Fog-Snow
2013-02-18,26,57,30.18,10,8,0,
2013-02-19,34,74,29.8,8,16,8,Rain-Snow
2013-02-20,20,75,30.07,5,14,8,Snow
2013-02-21,21,74,30.27,7,7,6,Snow
2013-02-22,28,86,30.07,7,8,7,Rain
2013-02-23,38,83,29.92,8,2,6,
2013-02-24,28,74,30.02,8,7,7,Snow
2013-02-25,34,65,30.16,10,3,3,
2013-02-26,34,80,29.79,8,9,6,Rain
2013-02-27,38,90,29.62,9,10,8,Rain
2013-02-28,32,89,29.68,6,10,8,Snow
2013-03-01,28,84,29.89,8,9,8,Snow
2013-03-02,26,80,29.92,5,6,8,Snow
2013-03-03,24,79,29.95,6,8,8,Snow
2013-03-04,28,71,30.06,8,7,5,Snow
2013-03-05,32,52,29.93,10,4,2,
2013-03-06,34,85,29.87,4,9,8,Fog-Snow
2013-03-07,36,79,30.21,9,8,8,Snow
2013-03-08,32,77,30.37,10,11,6,
2013-03-09,40,58,30.33,10,3,0,
2013-03-10,55,34,30.09,10,8,2,
2013-03-11,55,48,29.85,9,9,3,Rain
2013-03-12,40,79,29.88,10,11,8,Rain
2013-03-13,32,80,29.98,5,11,7,Fog-Snow
2013-03-14,30,60,30.18,10,13,5,
2013-03-15,38,60,29.96,10,9,5,Rain
2013-03-16,36,96,29.77,3,4,8,Rain
2013-03-17,32,71,30.13,10,5,6,
2013-03-18,34,87,29.9,7,12,8,Rain-Snow
2013-03-19,36,74,29.8,8,12,6,Rain
2013-03-20,32,54,29.92,10,13,4,
2013-03-21,22,69,29.87,8,9,7,Snow
2013-03-22,28,67,29.96,10,12,6,Snow
2013-03-23,34,59,30.02,10,5,0,
2013-03-24,34,69,29.77,8,7,3,Snow
2013-03-25,32,97,29.51,2,10,8,Fog-Snow
2013-03-26,34,86,29.92,6,8,8,Fog-Snow
2013-03-27,34,85,30.09,6,9,8,Snow
2013-03-28,37,69,30.2,9,10,8,Snow
2013-03-29,43,53,30.24,10,5,7,
2013-03-30,43,41,30.18,10,3,0,
2013-03-31,44,78,29.8,9,7,6,Rain
2013-04-01,38,67,29.87,8,12,6,Fog-Snow
2013-04-02,30,54,30.13,9,7,4,Snow
2013-04-03,32,45,30.33,10,8,1,
2013-04-04,36,38,30.21,10,5,0,
2013-04-05,46,41,30.01,10,9,1,
2013-04-06,42,37,30.2,10,5,1,
2013-04-07,62,37,29.94,10,13,3,
2013-04-08,62,49,29.98,10,7,4,
2013-04-09,70,51,30.0,10,9,2,
2013-04-10,70,63,29.89,8,11,5,Rain-Thunderstorm
2013-04-11,66,78,29.79,8,7,2,
2013-04-12,55,75,29.62,9,11,7,Rain
2013-04-13,47,58,29.93,10,10,5,
2013-04-14,48,49,30.09,10,6,1,
2013-04-15,60,51,30.07,10,11,5,
2013-04-16,66,80,30.13,5,10,6,Fog-Rain-Thunderstorm
2013-04-17,58,88,30.18,5,2,6,Fog
2013-04-18,72,57,29.93,10,13,1,
2013-04-19,58,66,29.67,9,17,5,Rain
2013-04-20,42,54,30.11,10,14,6,Rain-Snow
2013-04-21,41,44,30.52,10,5,0,
2013-04-22,52,37,30.39,10,9,0,
2013-04-23,54,44,30.15,10,7,0,
2013-04-24,54,68,29.9,9,12,7,Rain-Thunderstorm
2013-04-25,46,61,30.27,10,8,4,Rain
2013-04-26,50,50,30.43,10,3,1,
2013-04-27,58,37,30.3,10,4,0,
2013-04-28,57,71,30.05,9,9,5,Rain
2013-04-29,58,83,29.99,8,7,8,Rain
2013-04-30,63,71,30.12,10,7,3,
2013-05-01,64,53,30.28,10,9,0,
2013-05-02,64,34,30.29,10,7,0,
2013-05-03,62,39,30.22,10,10,0,
2013-05-04,58,45,30.17,10,10,0,
2013-05-05,62,37,30.1,10,9,0,
2013-05-06,58,62,30.06,10,8,4,
2013-05-07,62,76,30.0,10,7,7,Rain
2013-05-08,64,65,29.95,10,5,4,Rain
2013-05-09,66,63,29.96,10,5,4,
2013-05-10,65,81,29.91,8,9,6,Rain-Thunderstorm
2013-05-11,56,88,29.81,8,9,8,Rain
2013-05-12,46,56,29.94,10,13,6,Rain
2013-05-13,44,47,30.13,10,8,2,
2013-05-14,46,57,30.1,10,4,3,
2013-05-15,70,54,29.8,10,11,3,Rain
2013-05-16,70,64,29.88,9,8,3,Rain
2013-05-17,70,74,30.07,6,5,4,
2013-05-18,68,57,30.09,10,5,1,
2013-05-19,67,74,30.06,10,7,5,Rain
2013-05-20,72,73,30.01,10,6,3,
2013-05-21,76,70,29.91,9,9,2,Rain
2013-05-22,75,72,29.84,10,10,3,Rain-Thunderstorm
2013-05-23,63,88,29.83,7,10,7,Rain
2013-05-24,45,75,30.13,10,14,8,Rain
2013-05-25,48,57,30.29,10,8,1,
2013-05-26,52,46,30.27,10,7,0,
2013-05-27,53,58,30.23,10,3,2,
2013-05-28,68,74,30.06,10,7,5,Rain
2013-05-29,75,57,30.07,10,10,1,
2013-05-30,75,58,30.14,10,6,1,
2013-05-31,77,60,30.07,10,7,1,
2013-06-01,77,62,29.94,10,8,3,
2013-06-02,74,67,29.84,10,11,4,Rain
2013-06-03,63,67,29.96,10,7,7,
2013-06-04,60,52,30.13,10,4,0,
2013-06-05,68,56,30.05,10,5,1,
2013-06-06,66,91,29.84,5,8,8,Fog-Rain
2013-06-07,63,93,29.8,4,3,8,Fog
2013-06-08,64,71,30.0,10,3,6,
2013-06-09,71,66,30.1,9,4,3,
2013-06-10,70,86,29.86,8,6,7,Rain
2013-06-11,70,82,29.85,8,9,6,Rain
2013-06-12,75,72,29.86,10,6,2,Rain
2013-06-13,68,84,29.67,8,12,7,Rain-Thunderstorm
2013-06-14,65,75,29.95,10,6,4,
2013-06-15,66,59,30.08,10,5,1,
2013-06-16,68,81,29.95,8,8,7,Rain
2013-06-17,74,71,29.95,9,6,3,
2013-06-18,70,80,29.9,9,4,3,Fog-Rain
2013-06-19,66,59,30.08,10,6,0,
2013-06-20,68,53,30.2,10,1,0,
2013-06-21,72,58,30.23,9,2,0,
2013-06-22,75,66,30.16,9,6,1,
2013-06-23,78,65,30.12,10,7,1,
2013-06-24,78,61,30.09,10,6,1,
2013-06-25,77,70,29.99,9,9,2,Rain-Thunderstorm
2013-06-26,74,88,29.93,5,8,7,Fog-Rain-Thunderstorm
2013-06-27,72,88,29.73,7,6,6,Rain
2013-06-28,70,84,29.59,9,6,5,Rain
2013-06-29,70,77,29.62,10,6,2,
2013-06-30,72,84,29.78,6,4,2,Rain-Thunderstorm
2013-07-01,72,83,29.9,7,3,6,Rain
2013-07-02,74,83,30.01,7,3,4,Fog-Rain
2013-07-03,78,70,30.14,10,7,2,
2013-07-04,77,75,30.18,9,5,4,Rain
2013-07-05,76,81,30.16,6,6,2,Fog-Rain
2013-07-06,78,72,30.13,10,6,2,Rain
2013-07-07,72,82,30.1,10,8,5,Rain
2013-07-08,74,74,30.1,10,7,4,
2013-07-09,75,89,30.08,5,8,7,Rain
2013-07-10,76,92,29.97,6,8,6,Fog-Rain-Thunderstorm
2013-07-11,70,79,29.97,9,4,6,
2013-07-12,67,77,30.06,10,5,4,Rain
2013-07-13,73,72,30.18,10,4,4,
2013-07-14,80,63,30.27,10,7,1,
2013-07-15,80,64,30.3,10,5,1,
2013-07-16,80,82,30.3,7,3,3,Rain-Thunderstorm
2013-07-17,78,92,30.27,3,2,3,Fog-Rain-Thunderstorm
2013-07-18,80,87,30.15,5,4,2,Fog
2013-07-19,80,78,29.98,7,8,2,Rain-Thunderstorm
2013-07-20,74,84,29.91,8,8,4,Rain
2013-07-21,74,87,29.96,8,4,5,Rain-Thunderstorm
2013-07-22,71,94,29.88,4,2,4,Fog-Rain-Thunderstorm
2013-07-23,72,88,29.77,6,7,6,Rain
2013-07-24,66,77,29.88,10,5,5,
2013-07-25,64,63,30.06,10,4,0,
2013-07-26,66,65,30.07,9,2,0,
2013-07-27,66,90,29.94,6,5,6,Fog-Rain-Thunderstorm
2013-07-28,68,82,29.94,8,7,5,Rain-Thunderstorm
2013-07-29,64,65,30.13,10,6,2,
2013-07-30,66,63,30.21,10,3,2,
2013-07-31,68,81,30.09,8,2,4,Rain
2013-08-01,72,81,29.92,9,6,6,Rain
2013-08-02,68,65,29.96,10,7,1,
2013-08-03,70,82,29.98,9,8,6,Rain
2013-08-04,65,69,30.06,10,5,3,Rain
2013-08-05,63,66,30.1,10,2,1,
2013-08-06,68,61,30.02,10,2,1,
2013-08-07,73,85,29.99,9,6,4,Rain-Thunderstorm
2013-08-08,74,85,29.97,10,7,4,
2013-08-09,72,91,29.94,7,6,7,Fog-Rain
2013-08-10,72,71,30.08,10,3,2,Rain
2013-08-11,72,74,30.09,10,2,5,
2013-08-12,72,82,30.03,6,2,1,Fog
2013-08-13,68,78,29.86,8,7,5,
2013-08-14,59,71,30.09,10,6,4,Rain
2013-08-15,61,63,30.17,10,2,0,
2013-08-16,64,62,30.16,10,2,0,
2013-08-17,68,64,30.23,10,3,0,
2013-08-18,67,81,30.2,10,3,6,Rain
2013-08-19,70,90,30.13,5,1,7,Fog-Rain-Thunderstorm
2013-08-20,68,72,30.17,9,4,1,
2013-08-21,72,76,30.16,7,3,1,
2013-08-22,73,85,30.07,9,7,4,Rain
2013-08-23,72,83,30.06,6,2,6,Rain
2013-08-24,68,66,30.26,10,3,1,
2013-08-25,70,68,30.32,9,5,1,
2013-08-26,72,67,30.17,10,7,1,
2013-08-27,76,81,30.0,8,6,5,Rain
2013-08-28,74,96,29.9,4,5,7,Fog-Rain
2013-08-29,76,85,29.99,5,4,5,
2013-08-30,74,84,29.98,5,4,1,Fog
2013-08-31,77,79,29.84,8,8,2,
2013-09-01,74,90,29.84,8,6,5,Rain
2013-09-02,76,84,29.81,7,8,5,Fog-Rain
2013-09-03,64,84,29.94,8,6,5,Fog
2013-09-04,64,71,30.1,9,6,0,
2013-09-05,65,69,30.14,10,7,3,
2013-09-06,60,56,30.23,10,4,0,
2013-09-07,63,72,30.08,7,3,1,Fog
2013-09-08,71,73,29.99,10,5,5,
2013-09-09,68,84,30.07,8,4,4,Rain
2013-09-10,79,78,30.11,7,9,1,
2013-09-11,78,81,30.11,7,7,2,Rain
2013-09-12,69,91,29.91,6,7,5,Rain
2013-09-13,60,82,29.91,9,7,7,Rain
2013-09-14,57,69,30.12,10,4,5,
2013-09-15,56,78,30.15,8,5,1,Fog
2013-09-16,61,85,30.18,6,4,6,Rain
2013-09-17,57,70,30.34,10,4,0,
2013-09-18,60,64,30.21,10,5,1,
2013-09-19,68,77,30.12,8,4,5,
2013-09-20,68,88,30.0,5,6,4,Fog
2013-09-21,63,93,29.75,5,8,6,Rain
2013-09-22,56,89,29.89,6,6,7,Fog
2013-09-23,52,71,30.12,10,3,6,
2013-09-24,54,77,30.09,6,1,0,Fog
2013-09-25,60,66,29.95,9,2,0,
2013-09-26,62,64,30.03,10,2,0,
2013-09-27,62,68,30.17,10,2,0,
2013-09-28,62,72,30.22,10,5,1,
2013-09-29,62,70,30.1,10,6,2,
2013-09-30,62,82,30.04,10,5,7,
2013-10-01,67,75,30.06,9,6,4,
2013-10-02,68,74,30.08,10,7,2,
2013-10-03,68,89,30.09,5,4,4,Fog-Rain
2013-10-04,72,85,30.08,8,6,4,Rain
2013-10-05,73,91,30.05,4,4,3,Fog-Rain
2013-10-06,74,74,29.9,8,7,2,
2013-10-07,60,76,29.88,8,11,5,Rain
2013-10-08,53,74,30.27,8,5,1,Fog
2013-10-09,56,64,30.3,10,4,0,
2013-10-10,58,59,30.18,10,3,1,
2013-10-11,55,88,30.09,7,4,7,Rain
2013-10-12,64,78,30.12,10,3,6,Rain
2013-10-13,63,79,30.24,10,4,7,Rain
2013-10-14,58,92,30.28,8,1,8,Rain
2013-10-15,61,87,30.14,6,2,2,Fog
2013-10-16,59,88,29.94,9,8,6,Rain
2013-10-17,55,90,29.84,8,7,8,Rain
2013-10-18,52,71,29.98,10,11,3,
2013-10-19,46,86,29.88,9,8,4,Fog-Rain
2013-10-20,47,69,30.03,10,10,1,
2013-10-21,52,53,30.0,10,8,1,
2013-10-22,47,68,29.91,9,7,5,Rain
2013-10-23,40,86,29.82,8,3,7,Rain
2013-10-24,40,73,30.05,10,10,6,
2013-10-25,39,75,30.27,9,8,6,Snow
2013-10-26,39,58,30.08,10,12,4,Rain
2013-10-27,44,61,30.07,10,7,1,
2013-10-28,46,61,30.24,9,4,1,
2013-10-29,47,65,30.34,10,2,1,
2013-10-30,54,70,30.19,10,2,5,Rain
2013-10-31,62,84,29.89,9,9,7,Rain
2013-11-01,60,70,29.59,10,16,6,Rain
2013-11-02,48,77,29.81,10,8,8,Rain
2013-11-03,42,72,30.22,10,8,3,
2013-11-04,37,54,30.51,10,5,0,
2013-11-05,49,48,30.45,10,5,0,
2013-11-06,57,61,30.11,9,8,4,Rain
2013-11-07,48,79,30.0,8,10,8,Rain
2013-11-08,40,60,30.23,10,9,5,
2013-11-09,44,49,30.13,10,9,2,
2013-11-10,45,55,30.13,10,16,5,
2013-11-11,40,65,30.15,9,10,7,Rain-Snow
2013-11-12,30,80,30.31,6,12,6,Fog-Snow
2013-11-13,30,68,30.48,9,8,2,Snow
2013-11-14,37,50,30.3,10,10,0,
2013-11-15,46,38,30.2,10,9,2,
2013-11-16,52,67,30.16,10,7,2,
2013-11-17,57,81,29.82,9,10,8,Rain
2013-11-18,48,52,29.85,10,18,3,
2013-11-19,34,58,30.27,10,10,6,
2013-11-20,38,46,30.43,10,6,0,
2013-11-21,44,49,30.36,10,6,4,
2013-11-22,46,85,30.16,7,9,8,Rain
2013-11-23,29,69,30.23,7,12,6,Snow
2013-11-24,20,61,30.48,10,12,3,Snow
2013-11-25,26,47,30.39,10,8,3,
2013-11-26,33,92,30.01,1,6,8,Fog-Rain-Snow
2013-11-27,28,83,29.81,5,12,8,Rain-Snow
2013-11-28,23,65,30.36,10,10,6,
2013-11-29,31,63,30.6,10,5,3,
2013-11-30,32,63,30.44,10,7,0,
2013-12-01,39,58,30.09,10,8,7,
2013-12-02,42,67,29.9,10,5,7,Rain
2013-12-03,46,75,29.9,7,2,4,Rain
2013-12-04,50,69,29.94,9,5,3,
2013-12-05,51,84,29.92,5,10,7,Rain
2013-12-06,34,89,30.14,5,8,8,Fog-Rain-Snow
2013-12-07,26,75,30.44,10,7,6,Snow
2013-12-08,24,81,30.32,5,6,7,Fog-Rain-Snow
2013-12-09,34,87,30.02,4,9,8,Fog-Rain
2013-12-10,26,71,30.09,6,10,5,Fog-Snow
2013-12-11,24,64,30.32,9,10,4,Snow
2013-12-12,18,57,30.38,10,10,4,
2013-12-13,28,50,30.26,10,9,2,
2013-12-14,34,85,29.9,4,6,8,Fog-Rain-Snow
2013-12-15,30,78,29.82,8,13,8,Rain-Snow
2013-12-16,22,73,30.1,7,5,8,Snow
2013-12-17,30,82,29.98,5,7,8,Snow
2013-12-18,26,76,30.12,9,11,6,Snow
2013-12-19,39,52,30.08,10,10,0,
2013-12-20,50,64,29.95,10,11,7,Rain
2013-12-21,58,86,29.84,8,10,7,Rain
2013-12-22,62,75,29.81,10,15,7,Rain
2013-12-23,42,78,30.14,8,8,8,Rain
2013-12-24,22,69,30.32,6,9,7,Fog-Snow
2013-12-25,20,71,30.37,8,4,5,Snow
2013-12-26,31,74,30.21,6,9,6,Snow
2013-12-27,34,56,30.34,10,8,4,
2013-12-28,43,47,30.2,10,10,0,
2013-12-29,42,87,29.77,5,8,8,Fog-Rain
2013-12-30,32,76,30.08,8,9,8,Rain-Snow
2013-12-31,24,73,30.17,6,9,7,Snow
